DATE,Series,Values
2016 Apr,index,-0.46404924186173035
2016 May,avg_weekly_earnings,1.189418278761356
2016 May,CPI_index,0.4045790998115084
2016 May,unemp_rate,-4.255319148936176
2016 May,emp_rate,-5.405405405405405
2016 May,index,-0.0822123032409472
2016 Jun,avg_weekly_earnings,-1.5852642482379609
2016 Jun,CPI_index,0.32843661672818936
2016 Jun,unemp_rate,13.33333333333333
2016 Jun,emp_rate,17.142857142857125
2016 Jun,index,3.407563782406098
2016 Jul,avg_weekly_earnings,0.43358883422948136
2016 Jul,CPI_index,-0.1618136404749948
2016 Jul,unemp_rate,0
2016 Jul,emp_rate,0
2016 Jul,index,-1.7180443453018168
2016 Aug,avg_weekly_earnings,-0.07859754638963601
2016 Aug,CPI_index,0.09184301078843937
2016 Aug,unemp_rate,-1.9607843137254832
2016 Aug,emp_rate,-2.4390243902438935
2016 Aug,index,2.247107901101719
2016 Sep,avg_weekly_earnings,0.9017327861376989
2016 Sep,CPI_index,0.2403995864628916
2016 Sep,unemp_rate,-4.0000000000000036
2016 Sep,emp_rate,-5.000000000000004
2016 Sep,index,-1.4417940917063943
2016 Oct,avg_weekly_earnings,2.3036684705855848
2016 Oct,CPI_index,0.12467485130143174
